waitingTime,routeLength,normalWaiting,fitness,run
0.0,247.93,0.0,delay,1
0.0,614.1,0.0,delay,1
0.0,610.17,0.0,delay,1
4.0,614.1,0.006513597134017261,delay,1
1.0,443.3,0.0022558087074216106,delay,1
0.0,614.1,0.0,delay,1
0.0,589.53,0.0,delay,1
11.0,614.1,0.017912392118547466,delay,1
4.0,614.1,0.006513597134017261,delay,1
0.0,614.1,0.0,delay,1
0.0,796.16,0.0,delay,1
2.0,614.1,0.0032567985670086306,delay,1
0.0,614.1,0.0,delay,1
5.0,443.3,0.011279043537108053,delay,1
14.0,614.1,0.022797589969060412,delay,1
17.0,614.1,0.027682787819573357,delay,1
2.0,614.1,0.0032567985670086306,delay,1
0.0,614.1,0.0,delay,1
0.0,614.1,0.0,delay,1
0.0,614.1,0.0,delay,1
8.0,614.1,0.013027194268034522,delay,1
0.0,614.1,0.0,delay,1
6.0,614.1,0.009770395701025891,delay,1
0.0,614.1,0.0,delay,1
12.0,614.1,0.019540791402051783,delay,1
17.0,614.1,0.027682787819573357,delay,1
6.0,614.1,0.009770395701025891,delay,1
16.0,614.1,0.026054388536069045,delay,1
0.0,589.53,0.0,delay,1
0.0,610.17,0.0,delay,1
0.0,614.1,0.0,delay,1
0.0,589.53,0.0,delay,1
0.0,614.1,0.0,delay,1
55.0,272.5,0.2018348623853211,delay,1
0.0,1032.6,0.0,delay,1
41.0,272.5,0.15045871559633028,delay,1
13.0,272.5,0.047706422018348627,delay,1
18.0,272.5,0.06605504587155964,delay,1
8.0,272.5,0.029357798165137616,delay,1
0.0,272.5,0.0,delay,1
0.0,272.5,0.0,delay,1
0.0,971.96,0.0,delay,1
22.0,610.17,0.0360555255092843,delay,1
0.0,589.53,0.0,delay,1
0.0,247.93,0.0,delay,1
27.0,614.1,0.04396678065461651,delay,1
32.0,614.1,0.05210877707213809,delay,1
31.0,614.1,0.05048037778863377,delay,1
26.0,614.1,0.0423383813711122,delay,1
0.0,841.37,0.0,delay,1
14.0,610.17,0.02294442532409001,delay,1
0.0,841.37,0.0,delay,1
12.0,614.1,0.019540791402051783,delay,1
6.0,610.17,0.009833325138895718,delay,1
24.0,614.1,0.039081582804103565,delay,1
19.0,614.1,0.03093958638658199,delay,1
15.0,614.1,0.024425989252564728,delay,1
0.0,268.57,0.0,delay,1
0.0,247.93,0.0,delay,1
6.0,614.1,0.009770395701025891,delay,1
0.0,614.1,0.0,delay,1
0.0,610.17,0.0,delay,1
12.0,614.1,0.019540791402051783,delay,1
9.0,614.1,0.014655593551538837,delay,1
5.0,614.1,0.008141996417521577,delay,1
5.0,1050.6,0.0047591852274890545,delay,1
0.0,614.1,0.0,delay,1
0.0,610.17,0.0,delay,1
0.0,1268.96,0.0,delay,1
0.0,614.1,0.0,delay,1
0.0,796.16,0.0,delay,1
0.0,971.96,0.0,delay,1
16.0,614.1,0.026054388536069045,delay,1
7.0,614.1,0.011398794984530206,delay,1
34.0,614.1,0.055365575639146715,delay,1
0.0,899.0,0.0,delay,1
0.0,614.1,0.0,delay,1
12.0,992.6,0.012089462018940157,delay,1
0.0,971.96,0.0,delay,1
0.0,589.53,0.0,delay,1
0.0,1069.8,0.0,delay,1
39.0,614.1,0.0635075720566683,delay,1
7.0,614.1,0.011398794984530206,delay,1
15.0,841.37,0.017828066130239965,delay,1
0.0,247.93,0.0,delay,1
22.0,841.37,0.02614783032435195,delay,1
24.0,614.1,0.039081582804103565,delay,1
0.0,614.1,0.0,delay,1
0.0,589.53,0.0,delay,1
27.0,614.1,0.04396678065461651,delay,1
0.0,1407.6,0.0,delay,1
4.0,1545.37,0.0025883768935594715,delay,1
28.0,614.1,0.045595179938120824,delay,1
10.0,614.1,0.016283992835043153,delay,1
29.0,996.53,0.029100980401994922,delay,1
20.0,614.1,0.03256798567008631,delay,1
38.0,837.44,0.0453763851738632,delay,1
0.0,796.16,0.0,delay,1
8.0,610.17,0.013111100185194291,delay,1
11.0,614.1,0.017912392118547466,delay,1
0.0,614.1,0.0,delay,1
19.0,1497.6,0.012686965811965812,delay,1
6.0,996.53,0.006020892496964467,delay,1
5.0,614.1,0.008141996417521577,delay,1
0.0,589.53,0.0,delay,1
0.0,614.1,0.0,delay,1
4.0,996.53,0.004013928331309645,delay,1
0.0,614.1,0.0,delay,1
0.0,589.53,0.0,delay,1
30.0,1017.17,0.029493594974291416,delay,1
19.0,614.1,0.03093958638658199,delay,1
0.0,614.1,0.0,delay,1
0.0,614.1,0.0,delay,1
12.0,1524.73,0.007870245879598356,delay,1
33.0,614.1,0.0537371763556424,delay,1
0.0,1017.17,0.0,delay,1
12.0,614.1,0.019540791402051783,delay,1
43.0,614.1,0.07002116919068556,delay,1
5.0,841.37,0.0059426887100799885,delay,1
14.0,614.1,0.022797589969060412,delay,1
0.0,614.1,0.0,delay,1
