delay,normal_delay,max_normal_delay,gen,chrom,fitness,run
1340773.0,0.11005074133924168,1.9191372896078143,0,0,delay,1
460025.0,0.05081783978282801,0.9541284403669725,1,0,delay,1
367685.0,0.040271271493738256,0.42935779816513764,2,0,delay,1
367685.0,0.040271271493738256,0.42935779816513764,3,0,delay,1
360198.0,0.038372274093542776,0.5724770642201835,4,0,delay,1
358959.0,0.04296888124974713,1.4128440366972477,5,0,delay,1
358803.0,0.039603981692937454,0.4,6,0,delay,1
349258.0,0.03758309737182287,0.363302752293578,7,0,delay,1
327932.0,0.03326062616161798,0.3302752293577982,8,0,delay,1
327932.0,0.03326062616161798,0.3302752293577982,9,0,delay,1
327932.0,0.03326062616161798,0.3302752293577982,10,0,delay,1
316477.0,0.03354125988787791,0.43669724770642204,11,0,delay,1
313460.0,0.033819847859337795,0.41834862385321103,12,0,delay,1
297984.0,0.0317546883610113,0.3376146788990826,13,0,delay,1
296500.0,0.030006934474244667,0.3412844036697248,14,0,delay,1
296323.0,0.030226703594723077,0.28256880733944956,15,0,delay,1
282475.0,0.02912652163992715,0.3302752293577982,16,0,delay,1
282272.0,0.029904216819318857,0.23911572298669073,17,0,delay,1
268748.0,0.0284975300747069,0.28256880733944956,18,0,delay,1
268748.0,0.0284975300747069,0.28256880733944956,19,0,delay,1
268748.0,0.0284975300747069,0.28256880733944956,20,0,delay,1
256655.0,0.0266335077949341,0.22385321100917432,21,0,delay,1
255378.0,0.02588593106386706,0.19851116625310172,22,0,delay,1
251155.0,0.027897397097519323,0.24220183486238533,23,0,delay,1
251155.0,0.027897397097519323,0.24220183486238533,24,0,delay,1
244977.0,0.026479751850700006,0.23486238532110093,25,0,delay,1
240250.0,0.02607784557078738,0.21204601849763138,26,0,delay,1
240250.0,0.02607784557078738,0.21204601849763138,27,0,delay,1
236151.0,0.026249482124213998,0.27522935779816515,28,0,delay,1
236151.0,0.026249482124213998,0.27522935779816515,29,0,delay,1
230622.0,0.025098111199730405,0.24220183486238533,30,0,delay,1
229891.0,0.024141005491344326,0.21284403669724772,31,0,delay,1
226845.0,0.02515289686746563,0.23486238532110093,32,0,delay,1
224599.0,0.023801560998972692,0.1908256880733945,33,0,delay,1
221685.0,0.024192804353452564,0.1871559633027523,34,0,delay,1
220783.0,0.02462608218262585,0.23853211009174313,35,0,delay,1
215621.0,0.022330197113217574,0.19625535754568013,36,0,delay,1
215621.0,0.022330197113217574,0.19625535754568013,37,0,delay,1
214853.0,0.02300426968141914,0.23853211009174313,38,0,delay,1
213115.0,0.02289272715136246,0.24954128440366974,39,0,delay,1
211036.0,0.023168864706013745,0.22385321100917432,40,0,delay,1
209127.0,0.022572314116695483,0.23853211009174313,41,0,delay,1
204811.0,0.02225424765242729,0.20917431192660552,42,0,delay,1
202732.0,0.02269283278465868,0.22018348623853212,43,0,delay,1
201834.0,0.021762602293594224,0.22385321100917432,44,0,delay,1
200996.0,0.02176386036689314,0.24220183486238533,45,0,delay,1
200325.0,0.022227971661251407,0.22752293577981653,46,0,delay,1
196117.0,0.02171389574364315,0.24220183486238533,47,0,delay,1
194837.0,0.021048069439464856,0.21651376146788992,48,0,delay,1
194837.0,0.021048069439464856,0.21651376146788992,49,0,delay,1
190204.0,0.020906157298266028,0.22752293577981653,50,0,delay,1
