delay,normal_delay,max_normal_delay,gen,chrom,fitness,run
1445732.0,0.18834685593634726,2.75850838625631,0,0,delay,2
433170.0,0.04578808991081416,0.46238532110091746,1,0,delay,2
433170.0,0.04578808991081416,0.46238532110091746,2,0,delay,2
399469.0,0.04207017364146406,0.381651376146789,3,0,delay,2
375280.0,0.03881065993719344,0.3412844036697248,4,0,delay,2
375280.0,0.03881065993719344,0.3412844036697248,5,0,delay,2
357298.0,0.03674595467516108,0.381651376146789,6,0,delay,2
353203.0,0.037314240645400176,0.3706422018348624,7,0,delay,2
350329.0,0.03605145566739364,0.344954128440367,8,0,delay,2
333714.0,0.03613147420414296,0.2842318971351229,9,0,delay,2
323736.0,0.033324417525503996,0.30091743119266057,10,0,delay,2
317590.0,0.033349757496691654,0.4073394495412844,11,0,delay,2
316014.0,0.03282922058618109,0.28990825688073396,12,0,delay,2
299485.0,0.030585048076841852,0.3155963302752294,13,0,delay,2
299485.0,0.030585048076841852,0.3155963302752294,14,0,delay,2
291316.0,0.02999833463902289,0.3155963302752294,15,0,delay,2
291316.0,0.02999833463902289,0.3155963302752294,16,0,delay,2
283002.0,0.030128349821081188,0.24954128440366974,17,0,delay,2
271686.0,0.026920335883754577,0.22385321100917432,18,0,delay,2
256744.0,0.026796244318137482,0.24587155963302754,19,0,delay,2
256744.0,0.026796244318137482,0.24587155963302754,20,0,delay,2
255724.0,0.02782310918040903,0.3155963302752294,21,0,delay,2
251846.0,0.027561025432544194,0.27155963302752295,22,0,delay,2
251846.0,0.027561025432544194,0.27155963302752295,23,0,delay,2
249144.0,0.02568160650836589,0.28990825688073396,24,0,delay,2
230657.0,0.02442460747425609,0.24588314910895556,25,0,delay,2
230657.0,0.02442460747425609,0.24588314910895556,26,0,delay,2
229727.0,0.02326466751269793,0.2097902097902098,27,0,delay,2
228915.0,0.023785247712817398,0.24220183486238533,28,0,delay,2
228915.0,0.023785247712817398,0.24220183486238533,29,0,delay,2
225193.0,0.02397920064820832,0.22752293577981653,30,0,delay,2
219659.0,0.02387249177736956,0.24587155963302754,31,0,delay,2
217188.0,0.022844771777871333,0.23119266055045873,32,0,delay,2
217151.0,0.023290208529710688,0.23119266055045873,33,0,delay,2
213356.0,0.024104704855480562,0.3522935779816514,34,0,delay,2
213356.0,0.024104704855480562,0.3522935779816514,35,0,delay,2
211615.0,0.022958777302907525,0.24587155963302754,36,0,delay,2
209113.0,0.022645840333983938,0.24954128440366974,37,0,delay,2
206383.0,0.021427109132887628,0.23486238532110093,38,0,delay,2
205558.0,0.021748580341706635,0.1944954128440367,39,0,delay,2
204459.0,0.021287457877539783,0.20550458715596331,40,0,delay,2
201156.0,0.021965463874682047,0.20917431192660552,41,0,delay,2
194370.0,0.020898107825298478,0.20550458715596331,42,0,delay,2
194370.0,0.020898107825298478,0.20550458715596331,43,0,delay,2
194370.0,0.020898107825298478,0.20550458715596331,44,0,delay,2
194370.0,0.020898107825298478,0.20550458715596331,45,0,delay,2
194216.0,0.020289150548502825,0.20917431192660552,46,0,delay,2
190264.0,0.02055345088661072,0.22752293577981653,47,0,delay,2
190264.0,0.02055345088661072,0.22752293577981653,48,0,delay,2
189627.0,0.02049031550250472,0.20550458715596331,49,0,delay,2
189627.0,0.02049031550250472,0.20550458715596331,50,0,delay,2
